Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.120525855	3.808617026	5721.854	11086.093	3.6881	5364.238	-72.24	AMPRTU
2	Spectrogram 1	1	0.144631026	12.848056169	13311.258	16847.682	12.7034	3536.424	-85.17	KIKoch
3	Spectrogram 1	1	4.146089421	9.232280512	5642.384	11284.768	5.0862	5642.384	-72.56	AMPRTU
4	Spectrogram 1	1	9.593858078	12.438268262	5125.828	11284.768	2.8444	6158.940	-73.09	AMPRTU
5	Spectrogram 1	1	12.679319972	14.921100880	5284.768	11324.503	2.2418	6039.735	-73.80	AMPRTU
6	Spectrogram 1	1	15.306783616	17.452143840	5443.709	11125.828	2.1454	5682.119	-74.43	AMPRTU
7	Spectrogram 1	1	17.713842429	19.810992310	5165.563	11086.093	2.0971	5920.530	-74.61	AMPRTU
8	Spectrogram 1	1	20.148464705	22.293824929	5245.033	11086.093	2.1454	5841.060	-74.49	AMPRTU
9	Spectrogram 1	1	22.510771468	24.728447204	5245.033	11245.033	2.2177	6000.000	-72.71	AMPRTU
10	Spectrogram 1	1	24.897183402	26.584545375	5125.828	11324.503	1.6874	6198.675	-72.17	AMPRTU
11	Spectrogram 1	1	26.801491915	28.368328033	5086.093	11324.503	1.5668	6238.411	-72.50	AMPRTU
12	Spectrogram 1	1	28.874536625	30.489583085	5006.623	11245.033	1.6150	6238.411	-72.17	AMPRTU
13	Spectrogram 1	1	30.730634796	32.201050230	4768.212	11324.503	1.4704	6556.291	-71.99	AMPRTU
