Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.118334520	5.961101462	10101.382	16405.530	5.8428	6304.147	-72.50	KIKmut
2	Spectrogram 1	1	6.537982248	6.685900399	10396.313	16368.664	0.1479	5972.350	-66.09	KIKmut
3	Spectrogram 1	1	7.395907521	7.514242041	10175.115	16405.530	0.1183	6230.415	-65.19	KIKmut
4	Spectrogram 1	1	7.750911082	9.496345257	10138.249	16405.530	1.7454	6267.281	-72.66	KIKmut
5	Spectrogram 1	1	10.339478714	10.443021419	10138.249	16221.198	0.1035	6082.949	-65.57	KIKmut
6	Spectrogram 1	1	10.709274090	12.809711826	10470.046	16405.530	2.1004	5935.484	-72.17	KIKmut
7	Spectrogram 1	1	12.957629976	14.569937816	10138.249	16184.332	1.6123	6046.083	-73.37	KIKmut
8	Spectrogram 1	1	14.777023226	16.063911135	10248.848	16479.263	1.2869	6230.415	-74.12	KIKmut
9	Spectrogram 1	1	19.503371003	20.805050727	10138.249	16405.530	1.3017	6267.281	-73.87	KIKmut
10	Spectrogram 1	1	20.923385247	22.210273156	10359.447	16221.198	1.2869	5861.751	-74.62	KIKmut
11	Spectrogram 1	1	22.372983121	23.689454660	10654.378	15262.673	1.3165	4608.295	-73.20	KIKmut
12	Spectrogram 1	1	23.911331885	32.002454713	9880.184	16442.396	8.0911	6562.212	-70.03	KIKmut
13	Spectrogram 1	1	37.161697294	38.685254243	10101.382	15963.134	1.5236	5861.751	-75.56	KIKmut
14	Spectrogram 1	1	39.424844995	42.930505160	9953.917	15778.802	3.5057	5824.885	-75.24	KIKmut
15	Spectrogram 1	1	32.650193706	32.768528226	10322.581	16036.866	0.1183	5714.286	-74.94	KIKmut
16	Spectrogram 1	1	35.445846749	35.564181269	10470.046	15852.535	0.1183	5382.488	-72.01	KIKmut
17	Spectrogram 1	1	36.466481987	36.584816507	10396.313	15852.535	0.1183	5456.221	-72.11	KIKmut
18	Spectrogram 1	1	43.784973265	49.317112091	10101.382	16147.465	5.5321	6046.083	-74.62	KIKmut
19	Spectrogram 1	1	50.057705647	50.176040167	10211.982	15852.535	0.1183	5640.553	-66.86	KIKmut
20	Spectrogram 1	1	50.619794618	53.445031291	10322.581	16110.599	2.8252	5788.018	-75.87	KIKmut
21	Spectrogram 1	1	54.228997488	55.027755501	10433.180	15594.470	0.7988	5161.290	-75.96	KIKmut
22	Spectrogram 1	1	59.147045062	62.697080672	10359.447	15225.806	3.5500	4866.359	-78.37	KIKmut
23	Spectrogram 1	1	56.070347534	56.203473869	10764.977	15926.267	0.1331	5161.290	-72.64	KIKmut
24	Spectrogram 1	1	58.792041501	58.954751467	10248.848	15262.673	0.1627	5013.825	-73.25	KIKmut
25	Spectrogram 1	1	63.840576349	64.047661760	10433.180	15741.935	0.2071	5308.756	-73.09	KIKmut
26	Spectrogram 1	1	64.195579910	72.449412703	10433.180	15520.737	8.2538	5087.558	-77.98	KIKmut
27	Spectrogram 1	1	73.008572311	73.171282276	10543.779	15778.802	0.1627	5235.023	-73.19	KIKmut
28	Spectrogram 1	1	73.970040289	74.117958439	10396.313	15889.401	0.1479	5493.088	-73.92	KIKmut
29	Spectrogram 1	1	76.292355250	77.416533193	10838.710	15152.074	1.1242	4313.364	-80.74	KIKmut
30	Spectrogram 1	1	78.777380177	80.182602606	10728.111	15299.539	1.4052	4571.429	-79.68	KIKmut
31	Spectrogram 1	1	78.481543876	78.614670212	10654.378	15520.737	0.1331	4866.359	-72.44	KIKmut
