Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Delta Freq (Hz)	Avg Power Density (dB FS/Hz)	Annotation
1	Spectrogram 1	1	0.055514914	1.110298271	8026.490	18675.497	1.0548	10649.007	-66.90	KIKmut
2	Spectrogram 1	1	1.915264518	2.886775505	7947.020	18119.205	0.9715	10172.185	-62.85	KIKmut
3	Spectrogram 1	1	3.608469382	4.496707999	7748.344	18198.675	0.8882	10450.331	-63.28	KIKmut
4	Spectrogram 1	1	5.357189159	5.940095751	7788.079	17841.060	0.5829	10052.980	-60.95	KIKmut
5	Spectrogram 1	1	6.758940726	8.202328479	7788.079	17761.589	1.4434	9973.510	-62.98	KIKmut
6	Spectrogram 1	1	8.951779812	10.298016466	7549.669	18079.470	1.3462	10529.801	-62.20	KIKmut
7	Spectrogram 1	1	11.227891268	12.393704453	8026.490	18119.205	1.1658	10092.715	-67.02	KIKmut
8	Spectrogram 1	1	13.212549428	14.933511748	11245.033	16450.331	1.7210	5205.298	-75.99	KIKmut
9	Spectrogram 1	1	15.707546565	17.484023799	11403.974	16172.185	1.7765	4768.212	-79.31	KIKmut
10	Spectrogram 1	1	18.275111317	18.955169008	11403.974	16211.921	0.6801	4807.947	-77.79	KIKmut
